label,days,win,loss,win_rate,total_pnl,mean_daily,stdev_daily,sharpe,max_dd,calmar,total_entries,total_stops,stop_rate
0.1,965,686,246,71.0880829015544,86155.00056505203,89.27979333166013,1563.018715278497,0.9067535581622033,21911.999762028456,1.0267665281087792,6755,609,9.015544041450777
0.2,965,687,245,71.19170984455958,84672.00068426132,87.74300589042625,1562.1432736590807,0.8916448706817138,21901.9997715652,1.0095533611087817,6755,615,9.104367135455218
0.3,965,688,244,71.29533678756476,87659.00085815787,90.8383428581947,1553.9192372752498,0.9279851575816438,22571.999752417207,1.0141441897638541,6755,618,9.148778682457438
0.5,965,686,246,71.0880829015544,84529.00075392425,87.59481943411839,1551.2867773469795,0.8963685312523537,22546.999771416187,0.9790169300210786,6755,627,9.2820133234641
1.0,965,683,249,70.77720207253886,80627.00126071274,83.55129664322564,1547.019809732206,0.8573488894362364,22546.999771416187,0.9338238775690728,6755,647,9.578090303478906
2.0,965,671,261,69.53367875647668,76883.00038906932,79.67150299385422,1512.6768514647158,0.836097874954728,22494.99964028597,0.8925191853968855,6755,683,10.111028867505551
2.25,965,668,264,69.22279792746114,77346.99998271465,80.15233158830534,1499.9294551295916,0.8482924406587672,21929.99965943396,0.9210391187381483,6755,695,10.288675055514434
2.5,965,668,264,69.22279792746114,77731.99970160425,80.55129502756917,1492.109532122946,0.8569827744103495,22064.99968677759,0.9199604185406594,6755,700,10.362694300518134
2.75,965,664,268,68.8082901554404,75813.99975375831,78.56373031477546,1484.5433475380592,0.8400970958260814,22304.99962925911,0.887606382801856,6755,710,10.510732790525537
3.0,965,663,269,68.70466321243524,82203.99968968332,85.18549190640758,1473.9535497323532,0.9174493739072795,21319.999638795853,1.0068829420311916,6755,712,10.540340488527017
