label,days,win,loss,win_rate,total_pnl,mean_daily,stdev_daily,sharpe,max_dd,calmar,placed_entries,total_stops,stop_rate,put_only_entries,put_only_stops,put_only_stop_rate
15,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
18,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
20,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
22,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
23,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
24,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
25,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
26,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
27,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
30,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
disabled,965,600,332,62.17616580310881,100021.99968633056,103.64974060759643,864.4614729289518,1.9033683676491027,13230.000426992774,1.9742807097589343,4411,1486,33.688506007708,77,35,45.45454545454545
